group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
put 100,,,,,104179395.0,ns,3
put 100,,,,,74651817.0,ns,3
put 100,,,,,69335596.0,ns,3
put 100,,,,,73611318.0,ns,3
put 100,,,,,70917179.0,ns,3
put 100,,,,,66140343.0,ns,3
put 100,,,,,68202691.0,ns,3
put 100,,,,,75988446.0,ns,3
put 100,,,,,73860620.0,ns,3
put 100,,,,,64924430.0,ns,3
put 100,,,,,72828771.0,ns,3
put 100,,,,,72121143.0,ns,3
put 100,,,,,66485832.0,ns,3
put 100,,,,,72868621.0,ns,3
put 100,,,,,73382884.0,ns,3
put 100,,,,,66924669.0,ns,3
put 100,,,,,72180931.0,ns,3
put 100,,,,,65776025.0,ns,3
put 100,,,,,72177321.0,ns,3
put 100,,,,,60625520.0,ns,3
put 100,,,,,71531141.0,ns,3
put 100,,,,,69178362.0,ns,3
put 100,,,,,72517670.0,ns,3
put 100,,,,,67388586.0,ns,3
put 100,,,,,73950457.0,ns,3
put 100,,,,,73457633.0,ns,3
put 100,,,,,72782503.0,ns,3
put 100,,,,,64967089.0,ns,3
put 100,,,,,73298577.0,ns,3
put 100,,,,,67497763.0,ns,3
put 100,,,,,73554719.0,ns,3
put 100,,,,,65848462.0,ns,3
put 100,,,,,72706115.0,ns,3
put 100,,,,,68821492.0,ns,3
put 100,,,,,74400114.0,ns,3
put 100,,,,,69416464.0,ns,3
put 100,,,,,77031605.0,ns,3
put 100,,,,,67102264.0,ns,3
put 100,,,,,73715045.0,ns,3
put 100,,,,,76524220.0,ns,3
put 100,,,,,75735784.0,ns,3
put 100,,,,,69248189.0,ns,3
put 100,,,,,75427872.0,ns,3
put 100,,,,,69266058.0,ns,3
put 100,,,,,65449704.0,ns,3
put 100,,,,,77439012.0,ns,3
put 100,,,,,76469402.0,ns,3
put 100,,,,,69102344.0,ns,3
put 100,,,,,76933407.0,ns,3
put 100,,,,,86684023.0,ns,3
put 100,,,,,69344197.0,ns,3
put 100,,,,,79377034.0,ns,3
put 100,,,,,69914689.0,ns,3
put 100,,,,,77067764.0,ns,3
put 100,,,,,77155950.0,ns,3
put 100,,,,,70747914.0,ns,3
put 100,,,,,77407483.0,ns,3
put 100,,,,,69984328.0,ns,3
put 100,,,,,77107982.0,ns,3
put 100,,,,,110183314.0,ns,3
put 100,,,,,77517570.0,ns,3
put 100,,,,,77744243.0,ns,3
put 100,,,,,70128622.0,ns,3
put 100,,,,,76773702.0,ns,3
put 100,,,,,72470272.0,ns,3
put 100,,,,,80681454.0,ns,3
put 100,,,,,78545108.0,ns,3
put 100,,,,,77601027.0,ns,3
put 100,,,,,69513692.0,ns,3
put 100,,,,,77619667.0,ns,3
put 100,,,,,71764163.0,ns,3
put 100,,,,,70058725.0,ns,3
put 100,,,,,78585758.0,ns,3
put 100,,,,,69900340.0,ns,3
put 100,,,,,78480051.0,ns,3
put 100,,,,,76848310.0,ns,3
put 100,,,,,71123943.0,ns,3
put 100,,,,,78033004.0,ns,3
put 100,,,,,77005545.0,ns,3
put 100,,,,,70528811.0,ns,3
put 100,,,,,79019495.0,ns,3
put 100,,,,,78146390.0,ns,3
put 100,,,,,66524082.0,ns,3
put 100,,,,,76986416.0,ns,3
put 100,,,,,78952187.0,ns,3
put 100,,,,,70108053.0,ns,3
put 100,,,,,77595537.0,ns,3
put 100,,,,,70430714.0,ns,3
put 100,,,,,72024186.0,ns,3
put 100,,,,,76611387.0,ns,3
put 100,,,,,74828151.0,ns,3
put 100,,,,,70239900.0,ns,3
put 100,,,,,76433842.0,ns,3
put 100,,,,,70265299.0,ns,3
put 100,,,,,70769463.0,ns,3
put 100,,,,,77359654.0,ns,3
put 100,,,,,69624928.0,ns,3
put 100,,,,,76959487.0,ns,3
put 100,,,,,78240958.0,ns,3
put 100,,,,,70324127.0,ns,3
